CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
91	62500	14602	81.06	77102
92	62015	13658	81.95	75673
93	49183	12452	79.80	61635
94	64850	14682	81.54	79532
95	80576	13602	85.56	94178
96	82297	15209	84.40	97506
97	47478	12139	79.64	59617
98	83892	14073	85.63	97965
99	93408	12573	88.14	105981
100	60504	12883	82.45	73387
101	61487	12529	83.07	74016
102	49213	11793	80.67	61006
103	49126	11774	80.67	60900
104	57667	11659	83.18	69326
105	73492	12488	85.48	85980
106	67651	11824	85.12	79475
107	41448	10919	79.15	52367
108	61719	11856	83.89	73575
109	43619	10580	80.48	54199
110	47383	12590	79.01	59973
111	39661	36224	52.26	75885
112	55800	13530	80.48	69330
113	46599	10849	81.12	57448
114	57755	11471	83.43	69226
115	41714	10292	80.21	52006
116	43738	10820	80.17	54558
117	52648	11439	82.15	64087
118	49497	11571	81.05	61068
119	42549	10017	80.94	52566
120	86036	12299	87.49	98335
121	39478	10740	78.61	50218
122	43150	9555	81.87	52705
123	54297	10154	84.25	64451
124	101220	11480	89.81	112700
125	45252	11528	79.70	56780
126	35633	9398	79.13	45031
127	57223	10318	84.72	67541
128	38836	8942	81.28	47778
129	32384	8198	79.80	40582
130	39259	9195	81.02	48454
131	33830	8550	79.83	42380
132	32620	8966	78.44	41586
133	50313	9371	84.30	59684
134	38894	9249	80.79	48143
135	51707	8701	85.60	60408
136	34888	8204	80.96	43092
137	31066	9658	76.28	40724
138	32414	8722	78.80	41136
139	29579	7705	79.33	37284
140	54438	8587	86.38	63025
141	28718	8218	77.75	36936
142	32843	9001	78.49	41844
143	29365	8127	78.32	37492
144	54231	13009	80.65	67240
145	34413	9453	78.45	43866
146	25748	7402	77.67	33150
147	26894	9454	73.99	36348
148	33907	8804	79.39	42711
149	26144	13135	66.56	39279
150	47207	19861	70.39	67068
151	25919	18536	58.30	44455

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	25342	8691	74.46	34033
2	48	6062	0.79	6110
3	13	8184	0.16	8197
4	562	101619	0.55	102181
5	610	141276	0.43	141886
6	538	160170	0.33	160708
7	396	130621	0.30	131017
8	440	177103	0.25	177543
9	439	148222	0.30	148661
10	508	162823	0.31	163331
11	467	153706	0.30	154173
12	502	154422	0.32	154924
13	534	175742	0.30	176276
14	446	150735	0.30	151181
15	412	168820	0.24	169232
16	546	138620	0.39	139166
17	433	152690	0.28	153123
18	387	125546	0.31	125933
19	460	134257	0.34	134717
20	388	146471	0.26	146859
21	612	156125	0.39	156737
22	406	140366	0.29	140772
23	334	116178	0.29	116512
24	619	155617	0.40	156236
25	521	141378	0.37	141899
26	604	149914	0.40	150518
27	602	151748	0.40	152350
28	448	137412	0.32	137860
29	459	142557	0.32	143016
30	636	170344	0.37	170980
31	540	153108	0.35	153648
32	534	148506	0.36	149040
33	635	132266	0.48	132901
34	464	138920	0.33	139384
35	542	130788	0.41	131330
36	582	155976	0.37	156558
37	422	150814	0.28	151236
38	449	131726	0.34	132175
39	380	137073	0.28	137453
40	514	151876	0.34	152390
41	504	122974	0.41	123478
42	524	141821	0.37	142345
43	570	142745	0.40	143315
44	505	184441	0.27	184946
45	822	145015	0.56	145837
46	608	151562	0.40	152170
47	347	120496	0.29	120843
48	462	146222	0.31	146684
49	517	147548	0.35	148065
50	583	154343	0.38	154926
51	481	138337	0.35	138818
52	2182	142350	1.51	144532
53	580	131289	0.44	131869
54	538	157329	0.34	157867
55	519	171556	0.30	172075
56	442	130892	0.34	131334
57	632	135725	0.46	136357
58	577	128775	0.45	129352
59	501	146485	0.34	146986
60	548	129803	0.42	130351
61	459	128070	0.36	128529
62	476	135815	0.35	136291
63	452	148334	0.30	148786
64	552	161516	0.34	162068
65	484	133710	0.36	134194
66	500	144895	0.34	145395
67	661	166257	0.40	166918
68	468	129653	0.36	130121
69	644	161792	0.40	162436
70	508	138690	0.36	139198
71	398	121213	0.33	121611
72	585	137576	0.42	138161
73	456	139136	0.33	139592
74	478	135416	0.35	135894
75	543	190736	0.28	191279
76	427	151578	0.28	152005
77	997	154641	0.64	155638
78	426	136069	0.31	136495
79	461	166236	0.28	166697
80	489	142610	0.34	143099
81	484	134778	0.36	135262
82	564	136048	0.41	136612
83	572	143394	0.40	143966
84	477	140933	0.34	141410
85	490	134080	0.36	134570
86	507	163606	0.31	164113
87	589	189981	0.31	190570
88	474	142087	0.33	142561
89	429	124876	0.34	125305
90	659	138985	0.47	139644
91	578	176142	0.33	176720
92	476	141881	0.33	142357
93	499	151832	0.33	152331
94	485	135187	0.36	135672
95	686	131873	0.52	132559
96	521	147401	0.35	147922
97	661	148539	0.44	149200
98	622	129879	0.48	130501
99	863	180281	0.48	181144
100	537	130521	0.41	131058
101	539	122186	0.44	122725
102	558	133851	0.42	134409
103	542	118901	0.45	119443
104	760	183515	0.41	184275
105	543	120687	0.45	121230
106	645	129897	0.49	130542
107	655	135554	0.48	136209
108	661	140439	0.47	141100
109	734	141976	0.51	142710
110	576	137001	0.42	137577
111	493	119572	0.41	120065
112	759	156388	0.48	157147
113	610	134607	0.45	135217
114	641	135392	0.47	136033
115	498	105770	0.47	106268
116	623	113400	0.55	114023
117	903	157214	0.57	158117
118	542	115369	0.47	115911
119	747	182328	0.41	183075
120	547	104425	0.52	104972
121	476	106430	0.45	106906
122	493	108276	0.45	108769
123	511	108522	0.47	109033
124	545	130472	0.42	131017
125	527	122250	0.43	122777
126	523	123392	0.42	123915
127	503	117330	0.43	117833
128	426	91950	0.46	92376
129	842	127493	0.66	128335
130	382	97486	0.39	97868
131	429	107676	0.40	108105
132	452	119426	0.38	119878
133	387	98240	0.39	98627
134	378	96683	0.39	97061
135	433	103821	0.42	104254
136	437	108799	0.40	109236
137	370	91599	0.40	91969
138	342	86240	0.40	86582
139	512	124260	0.41	124772
140	516	130954	0.39	131470
141	404	98367	0.41	98771
142	376	88008	0.43	88384
143	521	141972	0.37	142493
144	428	88949	0.48	89377
145	317	87893	0.36	88210
146	452	79991	0.56	80443
147	358	99990	0.36	100348
148	245	62987	0.39	63232
149	200	47812	0.42	48012
150	201	57781	0.35	57982
151	203	83514	0.24	83717

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	791	31140	2.48	31931
2	87	21121	0.41	21208
3	54	20257	0.27	20311
4	1051	294400	0.36	295451
5	1603	375913	0.42	377516
6	1553	369548	0.42	371101
7	1284	413870	0.31	415154
8	1220	470115	0.26	471335
9	927	390445	0.24	391372
10	1557	415270	0.37	416827
11	1166	409611	0.28	410777
12	1664	470750	0.35	472414
13	1150	401095	0.29	402245
14	1680	437891	0.38	439571
15	1153	380854	0.30	382007
16	2446	424409	0.57	426855
17	1193	425204	0.28	426397
18	1217	432420	0.28	433637
19	1330	427260	0.31	428590
20	956	383344	0.25	384300
21	1305	401647	0.32	402952
22	1474	396960	0.37	398434
23	1362	439342	0.31	440704
24	1636	396883	0.41	398519
25	1435	390811	0.37	392246
26	1480	414142	0.36	415622
27	1543	424992	0.36	426535
28	1712	425872	0.40	427584
29	1235	383003	0.32	384238
30	1084	398883	0.27	399967
31	1539	387866	0.40	389405
32	1250	371727	0.34	372977
33	1678	374960	0.45	376638
34	1203	380773	0.31	381976
35	1456	438775	0.33	440231
36	1819	402799	0.45	404618
37	11705	435131	2.62	446836
38	1630	404224	0.40	405854
39	1449	426605	0.34	428054
40	1592	442156	0.36	443748
41	1694	475538	0.35	477232
42	1457	402605	0.36	404062
43	1363	440303	0.31	441666
44	1345	388972	0.34	390317
45	1435	426302	0.34	427737
46	1285	380091	0.34	381376
47	1381	403584	0.34	404965
48	1695	475145	0.36	476840
49	1455	412978	0.35	414433
50	1333	354611	0.37	355944
51	1151	353303	0.32	354454
52	1418	368366	0.38	369784
53	1396	386736	0.36	388132
54	1436	410135	0.35	411571
55	1321	383718	0.34	385039
56	1310	370042	0.35	371352
57	1325	385191	0.34	386516
58	1748	405187	0.43	406935
59	1387	425341	0.33	426728
60	1480	415027	0.36	416507
61	1427	415827	0.34	417254
62	1620	389646	0.41	391266
63	1344	378249	0.35	379593
64	1589	383712	0.41	385301
65	1390	374279	0.37	375669
66	1674	386820	0.43	388494
67	1387	428018	0.32	429405
68	1357	384751	0.35	386108
69	1508	379202	0.40	380710
70	1421	400530	0.35	401951
71	1224	372194	0.33	373418
72	1350	443141	0.30	444491
73	1279	420197	0.30	421476
74	1220	354721	0.34	355941
75	1298	381597	0.34	382895
76	1278	392079	0.32	393357
77	1298	374390	0.35	375688
78	1236	386447	0.32	387683
79	1321	361196	0.36	362517
80	1406	401014	0.35	402420
81	1228	373322	0.33	374550
82	1288	374258	0.34	375546
83	1394	375967	0.37	377361
84	1285	375583	0.34	376868
85	1492	403606	0.37	405098
86	1913	379631	0.50	381544
87	1675	343569	0.49	345244
88	1127	335664	0.33	336791
89	1226	341160	0.36	342386
90	1816	363640	0.50	365456
91	1507	342381	0.44	343888
92	1540	385866	0.40	387406
93	7938	376367	2.07	384305
94	2755	374165	0.73	376920
95	1599	322794	0.49	324393
96	1426	341629	0.42	343055
97	1331	327303	0.41	328634
98	1599	346230	0.46	347829
99	1891	349768	0.54	351659
100	1678	354268	0.47	355946
101	1324	306670	0.43	307994
102	1867	418622	0.44	420489
103	1635	381921	0.43	383556
104	1456	323859	0.45	325315
105	1448	340044	0.42	341492
106	1510	319480	0.47	320990
107	2050	351122	0.58	353172
108	1512	334607	0.45	336119
109	1681	359175	0.47	360856
110	1532	351827	0.43	353359
111	1753	368308	0.47	370061
112	1769	371793	0.47	373562
113	1549	327152	0.47	328701
114	1477	322043	0.46	323520
115	1543	333877	0.46	335420
116	1561	342826	0.45	344387
117	1523	339616	0.45	341139
118	2203	354356	0.62	356559
119	1290	268709	0.48	269999
120	1365	285009	0.48	286374
121	2061	293068	0.70	295129
122	1929	322134	0.60	324063
123	1498	281531	0.53	283029
124	1451	302999	0.48	304450
125	1439	311000	0.46	312439
126	1562	291984	0.53	293546
127	1599	312572	0.51	314171
128	1486	288566	0.51	290052
129	1170	264906	0.44	266076
130	1193	307002	0.39	308195
131	1034	274708	0.37	275742
132	1072	244364	0.44	245436
133	1072	260147	0.41	261219
134	1189	278662	0.42	279851
135	1037	237640	0.43	238677
136	1150	234553	0.49	235703
137	1089	285204	0.38	286293
138	1126	260274	0.43	261400
139	1097	255919	0.43	257016
140	991	260920	0.38	261911
141	1005	239291	0.42	240296
142	3288	233648	1.39	236936
143	950	235963	0.40	236913
144	981	219966	0.44	220947
145	927	216315	0.43	217242
146	798	195097	0.41	195895
147	880	184461	0.47	185341
148	1096	191811	0.57	192907
149	656	159324	0.41	159980
150	515	136192	0.38	136707
151	434	180699	0.24	181133

